組織,カテゴリ
内閣官房,最新の日本の行政機関
内閣法制局,最新の日本の行政機関
国家安全保障会議,最新の日本の行政機関
高度情報通信ネットワーク社会推進戦略本部,最新の日本の行政機関
都市再生本部,最新の日本の行政機関
構造改革特別区域推進本部,最新の日本の行政機関
知的財産戦略本部,最新の日本の行政機関
地球温暖化対策推進本部,最新の日本の行政機関
地域再生本部,最新の日本の行政機関
郵政民営化推進本部,最新の日本の行政機関
中心市街地活性化本部,最新の日本の行政機関
道州制特別区域推進本部,最新の日本の行政機関
総合海洋政策本部,最新の日本の行政機関
宇宙開発戦略本部,最新の日本の行政機関
総合特別区域推進本部,最新の日本の行政機関
原子力防災会議,最新の日本の行政機関
国土強靭化推進本部,最新の日本の行政機関
社会保障制度改革推進本部,最新の日本の行政機関
健康・医療戦略推進本部,最新の日本の行政機関
社会保障制度改革推進会議,最新の日本の行政機関
水循環政策本部,最新の日本の行政機関
まち・ひと・しごと創生本部,最新の日本の行政機関
サイバーセキュリティ戦略本部,最新の日本の行政機関
東京オリンピック競技大会・東京パラリンピック競技大会推進本部,最新の日本の行政機関
特定複合観光施設区域整備推進本部,最新の日本の行政機関
人事院,最新の日本の行政機関
内閣府,最新の日本の行政機関
復興庁,最新の日本の行政機関
総務省,最新の日本の行政機関
法務省,最新の日本の行政機関
外務省,最新の日本の行政機関
財務省,最新の日本の行政機関
文部科学省,最新の日本の行政機関
厚生労働省,最新の日本の行政機関
農林水産省,最新の日本の行政機関
経済産業省,最新の日本の行政機関
国土交通省,最新の日本の行政機関
環境省,最新の日本の行政機関
防衛省,最新の日本の行政機関
地方創生推進事務局,最新の日本の行政機関
知的財産戦略推進事務局,最新の日本の行政機関
宇宙開発戦略推進事務局,最新の日本の行政機関
北方対策本部,最新の日本の行政機関
子ども・子育て本部,最新の日本の行政機関
総合海洋政策推進事務局,最新の日本の行政機関
金融危機対応会議,最新の日本の行政機関
民間資金等活用事業推進会議,最新の日本の行政機関
子ども・若者育成支援推進本部,最新の日本の行政機関
少子化社会対策会議,最新の日本の行政機関
高齢社会対策会議,最新の日本の行政機関
中央交通安全対策会議,最新の日本の行政機関
犯罪被害者等施策推進会議,最新の日本の行政機関
子どもの貧困対策会議,最新の日本の行政機関
消費者政策会議,最新の日本の行政機関
国際平和協力本部,最新の日本の行政機関
日本学術会議,最新の日本の行政機関
官民人材交流センター,最新の日本の行政機関
原子力立地会議,最新の日本の行政機関
宮内庁,最新の日本の行政機関
公正取引委員会,最新の日本の行政機関
国家公安委員会,最新の日本の行政機関
個人情報保護委員会,最新の日本の行政機関
金融庁,最新の日本の行政機関
消費者庁,最新の日本の行政機関
中央選挙管理会,最新の日本の行政機関
政治資金適正化委員会,最新の日本の行政機関
公害等調整委員会,最新の日本の行政機関
消防庁,最新の日本の行政機関
検察庁,最新の日本の行政機関
出入国在留管理庁,最新の日本の行政機関
公安審査委員会,最新の日本の行政機関
公安調査庁,最新の日本の行政機関
在外公館,最新の日本の行政機関
国税庁,最新の日本の行政機関
日本学士院,最新の日本の行政機関
地震調査研究推進本部,最新の日本の行政機関
日本ユネスコ国内委員会,最新の日本の行政機関
スポーツ庁,最新の日本の行政機関
文化庁,最新の日本の行政機関
自殺総合対策会議,最新の日本の行政機関
中央駐留軍関係離職者等対策協議会,最新の日本の行政機関
中央労働委員会,最新の日本の行政機関
農林水産技術会議,最新の日本の行政機関
食育推進会議,最新の日本の行政機関
林野庁,最新の日本の行政機関
水産庁,最新の日本の行政機関
資源エネルギー庁,最新の日本の行政機関
特許庁,最新の日本の行政機関
中小企業庁,最新の日本の行政機関
国土地理院,最新の日本の行政機関
小笠原総合事務所,最新の日本の行政機関
自転車活用推進本部,最新の日本の行政機関
海難審判所,最新の日本の行政機関
観光庁,最新の日本の行政機関
気象庁,最新の日本の行政機関
運輸安全委員会,最新の日本の行政機関
海上保安庁,最新の日本の行政機関
公害対策会議,最新の日本の行政機関
原子力規制委員会,最新の日本の行政機関
防衛会議,最新の日本の行政機関
幕僚監部,最新の日本の行政機関
自衛隊の部隊及び機関,最新の日本の行政機関
情報本部,最新の日本の行政機関
防衛監察本部,最新の日本の行政機関
外国軍用品審判所,最新の日本の行政機関
駐留軍等再編関連振興会議,最新の日本の行政機関
防衛装備庁,最新の日本の行政機関
内閣,最新の日本の行政機関
会計検査院,最新の日本の行政機関
立法機関,現存する日本の立法機関
国会 ,現存する日本の立法機関
衆議院,現存する日本の立法機関
参議院,現存する日本の立法機関
裁判官訴追委員会,現存する日本の立法機関
裁判官弾劾裁判所,現存する日本の立法機関
国立国会図書館,現存する日本の立法機関
最高裁判所,現存する日本の司法機関
下級裁判所 ,現存する日本の司法機関
高等裁判所 ,現存する日本の司法機関
札幌高等裁判所,現存する日本の司法機関
仙台高等裁判所,現存する日本の司法機関
東京高等裁判所 ,現存する日本の司法機関
知的財産高等裁判所 ,現存する日本の司法機関
名古屋高等裁判所,現存する日本の司法機関
大阪高等裁判所,現存する日本の司法機関
高松高等裁判所,現存する日本の司法機関
広島高等裁判所,現存する日本の司法機関
福岡高等裁判所,現存する日本の司法機関
地方裁判所,現存する日本の司法機関
家庭裁判所,現存する日本の司法機関
簡易裁判所,現存する日本の司法機関
大蔵省,過去に存在した日本の行政機関
司法省,過去に存在した日本の行政機関
文部省,過去に存在した日本の行政機関
陸軍省,過去に存在した日本の行政機関
海軍省,過去に存在した日本の行政機関
内務省,過去に存在した日本の行政機関
農商務省,過去に存在した日本の行政機関
逓信省,過去に存在した日本の行政機関
拓殖務省,過去に存在した日本の行政機関
鉄道省,過去に存在した日本の行政機関
農林省,過去に存在した日本の行政機関
商工省,過去に存在した日本の行政機関
拓務省,過去に存在した日本の行政機関
企画院,過去に存在した日本の行政機関
厚生省,過去に存在した日本の行政機関
情報局,過去に存在した日本の行政機関
大東亜省,過去に存在した日本の行政機関
運輸通信省,過去に存在した日本の行政機関
農商省,過去に存在した日本の行政機関
軍需省,過去に存在した日本の行政機関
綜合計画局,過去に存在した日本の行政機関
運輸省,過去に存在した日本の行政機関
内閣調査局,過去に存在した日本の行政機関
戦災復興院,過去に存在した日本の行政機関
第一復員省,過去に存在した日本の行政機関
第二復員省,過去に存在した日本の行政機関
復員庁,過去に存在した日本の行政機関
経済安定本部,過去に存在した日本の行政機関
物価庁,過去に存在した日本の行政機関
行政調査部,過去に存在した日本の行政機関
総理庁,過去に存在した日本の行政機関
労働省,過去に存在した日本の行政機関
賠償庁,過去に存在した日本の行政機関
内事局,過去に存在した日本の行政機関
建設院,過去に存在した日本の行政機関
地方財政委員会,過去に存在した日本の行政機関
法務庁,過去に存在した日本の行政機関
行政管理庁,過去に存在した日本の行政機関
建設省,過去に存在した日本の行政機関
中央経済調査庁,過去に存在した日本の行政機関
経済調査庁,過去に存在した日本の行政機関
通商産業省,過去に存在した日本の行政機関
総理府,過去に存在した日本の行政機関
郵政省,過去に存在した日本の行政機関
電気通信省,過去に存在した日本の行政機関
地方自治庁,過去に存在した日本の行政機関
法務府,過去に存在した日本の行政機関
北海道開発庁,過去に存在した日本の行政機関
自治庁,過去に存在した日本の行政機関
経済審議庁,過去に存在した日本の行政機関
保安庁,過去に存在した日本の行政機関
防衛庁,過去に存在した日本の行政機関
経済企画庁,過去に存在した日本の行政機関
科学技術庁,過去に存在した日本の行政機関
首都圏整備委員会,過去に存在した日本の行政機関
自治省,過去に存在した日本の行政機関
近畿圏整備本部,過去に存在した日本の行政機関
中部圏開発整備本部,過去に存在した日本の行政機関
環境庁,過去に存在した日本の行政機関
沖縄開発庁,過去に存在した日本の行政機関
国土庁,過去に存在した日本の行政機関
総務庁,過去に存在した日本の行政機関
金融監督庁,過去に存在した日本の行政機関
宮内省,過去に存在した日本の行政機関（内閣外）
元老院,過去に存在した日本の行政機関（内閣外）
内大臣官房,過去に存在した日本の行政機関（内閣外）
枢密院,過去に存在した日本の行政機関（内閣外）
行政裁判所,過去に存在した日本の行政機関（内閣外）
内大臣府,過去に存在した日本の行政機関（内閣外）
台湾総督府,過去に存在した日本の行政機関（外地機関）
統監府,過去に存在した日本の行政機関（外地機関）
関東都督府,過去に存在した日本の行政機関（外地機関）
樺太庁,過去に存在した日本の行政機関（外地機関）
朝鮮総督府,過去に存在した日本の行政機関（外地機関）
関東庁,過去に存在した日本の行政機関（外地機関）
南洋庁,過去に存在した日本の行政機関（外地機関）
関東局,過去に存在した日本の行政機関（外地機関）
政策企画局,東京の各局
都民安全推進本部,東京の各局
戦略政策情報推進本部,東京の各局
総務局,東京の各局
財務局,東京の各局
主税局,東京の各局
生活文化局,東京の各局
オリンピック・パラリンピック準備局,東京の各局
都市整備局,東京の各局
住宅政策本部,東京の各局
環境局,東京の各局
福祉保健局,東京の各局
病院経営本部,東京の各局
産業労働局,東京の各局
中央卸売市場,東京の各局
建設局,東京の各局
港湾局,東京の各局
会計管理局,東京の各局
東京消防庁,東京の各局
交通局,東京の各局
水道局,東京の各局
下水道局,東京の各局
教育委員会〔教育庁〕,東京の各局
選挙管理委員会,東京の各局
人事委員会事務局,東京の各局
監査委員〔監査事務局〕,東京の各局
公安委員会〔警視庁〕,東京の各局
労働委員会事務局,東京の各局
収用委員会事務局,東京の各局
議会局,東京の各局
営利団体,一般用語
非営利団体,一般用語
特定非営利活動法人,一般用語
公開有限会社,一般用語
有限会社,一般用語
有限責任会社,一般用語
株式会社,一般用語
有限責任事業組合,一般用語
社団法人,一般用語
法人組織,一般用語
会社組織,一般用語
合同会社,一般用語
合資会社,一般用語
合名会社,一般用語
信託会社,一般用語
信託銀行,一般用語
代理店,一般用語
取次店,一般用語
特約店,一般用語
慈善団体,一般用語
財団,一般用語
法人,一般用語
機構,一般用語
公共団体,一般用語
公社,一般用語
独立行政法人,一般用語
認可法人,一般用語
特別民間法人,一般用語
特殊法人,一般用語
公共法人,一般用語
事業団,一般用語
一般社団法人,一般用語
経営安定基金,一般用語
ファンド,一般用語
基金,一般用語
行政委員会,一般用語
交通局,一般用語
水道局,一般用語
下水道局,一般用語
郵便局,一般用語
放送局,一般用語
通信局,一般用語
薬局,一般用語
無線局,一般用語
警察庁,一般用語
郵政事業庁,一般用語
食糧庁,一般用語
司法試験管理委員会,一般用語
防衛施設庁,一般用語
船員労働委員会,一般用語
海難審判庁,一般用語
社会保険庁,一般用語
裁判所,一般用語
司法機関,一般用語
行政機関,一般用語
国家機関,一般用語
立法府,一般用語
NPO,一般用語
協会,一般用語
委員会,一般用語
役所,一般用語
役場,一般用語
